DATATIME,WINDSPEED,PREPOWER,WINDDIRECTION,TEMPERATURE,HUMIDITY,PRESSURE,A_WS,A_POWER,YD15
2021/10/2 0:00,5.3,29249.88182,216,2.8,66,821,7.4,43095,42914
2021/10/2 0:15,5.3,30355.94545,214,2.8,66,821,6.8,37833,
2021/10/2 0:30,5.3,30999.70152,213,2.8,66,821,7,39880,
2021/10/2 0:45,5.1,31642.49242,213,2.8,66,821,7.2,42963,42244
2021/10/2 1:00,5.1,32286.24848,212,2.8,66,821,8.3,50648,43271
2021/10/2 1:15,5.1,33127.86061,211,2.8,66,821,7.9,47949,
2021/10/2 1:30,5.4,34168.29394,210,2.7,67,821,8,49935,
2021/10/2 1:45,5.6,35208.72727,210,2.6,68,821,7.8,47831,49344
2021/10/2 2:00,6,36249.16061,209,2.5,69,821,7.8,47357,48496
2021/10/2 2:15,6.1,36669.00152,210,2.4,70,821,7.3,40905,
2021/10/2 2:30,6.1,36469.21515,212,2.3,72,821,7.1,39380,38627
2021/10/2 2:45,6.2,36268.46364,214,2.2,75,821,6.7,35670,37644
2021/10/2 3:00,6.2,36068.67727,217,2.1,77,821,6.6,36147,
2021/10/2 3:15,6.1,35539.77424,218,2,79,821,6.3,34333,
2021/10/2 3:30,6,34682.7197,220,1.9,81,821,6.1,32004,33268
2021/10/2 3:45,5.8,33824.7,222,1.8,82,821,5.8,29940,
2021/10/2 4:00,5.7,32967.64545,224,1.7,84,821,5.7,29043,29562
2021/10/2 4:15,5.7,32079.70606,225,1.6,85,821,5.8,29386,
2021/10/2 4:30,5.6,31161.84697,226,1.6,86,821,5.7,27016,29428
2021/10/2 4:45,5.6,30243.98788,227,1.5,87,821,6,30701,
2021/10/2 5:00,5.5,29326.12879,228,1.5,88,821,6.1,31796,
2021/10/2 5:15,5.5,28372.55909,229,1.5,88,821,6,30896,31705
2021/10/2 5:30,5.4,27383.27879,230,1.5,89,821,6.2,29967,28401
2021/10/2 5:45,5.2,26394.96364,230,1.5,89,821,6.2,30457,27150
